time,TREFHTMN_0,TREFHTMN_1,TREFHTMN_2,TREFHTMN_3,TREFHTMN_4,TREFHTMN_5,TREFHTMN_6,TREFHTMN_7,TREFHTMN_8,TREFHTMN_9,TREFHTMN_10,TREFHTMN_11,TREFHTMN_12,TREFHTMN_13,TREFHTMN_14,TREFHTMN_15,TREFHTMN_16,TREFHTMN_17,TREFHTMN_18,TREFHTMN_19,TREFHTMX_0,TREFHTMX_1,TREFHTMX_2,TREFHTMX_3,TREFHTMX_4,TREFHTMX_5,TREFHTMX_6,TREFHTMX_7,TREFHTMX_8,TREFHTMX_9,TREFHTMX_10,TREFHTMX_11,TREFHTMX_12,TREFHTMX_13,TREFHTMX_14,TREFHTMX_15,TREFHTMX_16,TREFHTMX_17,TREFHTMX_18,TREFHTMX_19,PRECT_0,PRECT_1,PRECT_2,PRECT_3,PRECT_4,PRECT_5,PRECT_6,PRECT_7,PRECT_8,PRECT_9,PRECT_10,PRECT_11,PRECT_12,PRECT_13,PRECT_14,PRECT_15,PRECT_16,PRECT_17,PRECT_18,PRECT_19,SOILWATER_10CM_0,SOILWATER_10CM_1,SOILWATER_10CM_2,SOILWATER_10CM_3,SOILWATER_10CM_4,SOILWATER_10CM_5,SOILWATER_10CM_6,SOILWATER_10CM_7,SOILWATER_10CM_8,SOILWATER_10CM_9,SOILWATER_10CM_10,SOILWATER_10CM_11,SOILWATER_10CM_12,SOILWATER_10CM_13,SOILWATER_10CM_14,SOILWATER_10CM_15,SOILWATER_10CM_16,SOILWATER_10CM_17,SOILWATER_10CM_18,SOILWATER_10CM_19
1981-11-01 00:00:00,272.67166,274.09363,267.04434,273.7476,271.2096,271.8122,272.54916,273.79272,273.38934,266.27036,273.26105,273.4791,273.37292,271.66605,272.80646,274.66745,272.5182,273.51685,271.9056,273.04218,289.51352,288.3548,289.1866,288.46918,289.21854,285.4043,300.89493,291.8377,291.09967,291.15994,287.5016,289.7232,288.99155,295.71127,292.81085,292.30948,290.31204,286.06445,294.75848,293.2137,7.055074e-08,8.88617e-08,1.0764304e-07,5.3126424e-08,5.0800278e-08,1.0422884e-07,5.3799003e-08,1.1292931e-07,1.2604433e-07,4.5056908e-08,5.791183e-08,4.6462226e-08,3.1933393e-08,9.7749606e-08,6.100229e-08,6.952313e-08,8.78466e-08,6.255467e-08,9.0627466e-08,4.8599503e-08,37.833714,36.700928,41.815945,38.123123,36.900707,42.161594,31.58452,40.195057,41.030922,36.20885,40.26903,35.327522,37.767563,41.40638,38.45529,36.06652,41.299694,40.699554,41.43174,38.94803
1981-12-01 00:00:00,258.66995,274.63556,269.24097,270.68015,273.52945,273.2847,271.35776,264.07092,271.06647,260.57196,273.7507,274.18762,263.89328,261.61703,272.9549,262.47345,272.88614,269.88864,270.63608,266.3435,282.6693,291.051,284.73956,286.3856,285.10046,284.47543,286.4207,282.48264,286.60257,284.61713,288.25034,287.08167,285.7145,284.06903,283.18478,283.25598,283.90445,281.99484,286.06564,285.00626,7.13676e-08,9.502454e-08,9.216458e-08,5.256277e-08,6.268086e-08,9.334759e-08,9.380674e-08,9.186452e-08,5.5020006e-08,1.499165e-07,1.5449139e-07,7.795219e-08,1.1735451e-07,7.139722e-08,9.715926e-08,1.2598592e-07,1.2952638e-07,7.3666975e-08,5.8124677e-08,1.4758707e-07,42.94448,41.54545,43.828953,42.87798,40.712334,42.056423,40.141323,43.99743,40.38305,42.649353,42.86487,40.79797,43.075073,42.066353,42.842274,42.748478,43.27621,41.24676,40.12554,43.33003
1982-01-01 00:00:00,269.70224,270.9892,264.46,266.22534,259.38934,275.2661,270.82312,272.15683,272.9891,271.46375,272.12823,269.1525,261.77557,247.41344,264.64554,265.38297,270.58026,266.85776,268.3521,264.41446,284.60303,286.53302,279.33282,292.00668,284.43958,293.6523,290.59125,288.79044,289.32782,286.11316,287.46472,284.83795,288.65308,284.003,285.89185,287.19662,283.3778,284.30548,286.50632,286.27386,3.5683456e-08,4.0904578e-08,9.766e-08,8.3132605e-08,8.9336346e-08,5.5469698e-08,6.764548e-08,5.5157173e-08,8.513177e-08,1.4485013e-07,7.693386e-08,1.1256865e-07,2.8136473e-08,6.020277e-08,8.992466e-08,8.103441e-08,4.4653056e-08,1.3116384e-07,7.550869e-08,1.078464e-07,39.05387,39.605267,44.425144,41.862923,47.057053,39.62521,40.450283,40.764065,41.10856,43.351833,41.60102,41.915012,41.946693,41.987415,41.64427,41.86427,42.3493,45.327442,43.729797,43.63684
1982-02-01 00:00:00,271.40863,273.59128,262.573,273.89603,264.3741,274.55423,273.6641,273.93353,272.37985,271.698,273.54434,273.88126,262.3604,262.47284,273.29428,270.13632,269.3563,273.89645,274.05893,265.85754,289.16867,289.72568,279.18903,290.36398,289.7072,295.18777,289.88,286.90164,290.8907,289.73782,292.0844,287.5654,290.39456,283.3262,288.02353,285.06137,286.4616,292.2481,294.26273,285.15372,5.9175512e-08,4.486202e-08,7.983742e-08,2.4868067e-08,5.607308e-08,4.2669885e-08,5.4250854e-08,4.7227633e-08,3.7876312e-08,6.9783894e-08,3.6555942e-08,4.38397e-08,3.6863486e-08,2.5193104e-08,3.5932704e-08,5.0730325e-08,3.635423e-08,2.4352714e-08,3.7782172e-08,4.9429328e-08,39.634357,39.659687,41.506775,37.52538,44.942116,39.420834,40.275734,39.563133,38.867805,40.5032,38.41615,39.332718,38.39884,40.63626,38.797306,39.727043,39.324703,37.714878,39.102913,41.727245
1982-03-01 00:00:00,271.02173,268.56442,271.96082,273.2257,273.29623,273.1939,274.53958,273.4247,272.9983,272.9412,272.7355,274.3669,261.47632,269.4468,273.3042,272.08624,274.15106,275.16397,272.4134,268.19052,294.05795,291.25488,288.07947,290.20956,292.6325,293.12393,293.54324,296.73657,292.62164,290.70465,294.6936,290.9434,298.82428,298.48734,293.10278,291.0312,294.00095,297.73907,289.35748,291.9701,5.7449146e-08,8.7486285e-08,4.031131e-08,4.2224148e-08,6.1671926e-08,2.7813808e-08,5.588559e-08,2.2145612e-08,4.231579e-08,6.322796e-08,2.8995085e-08,9.05983e-08,6.7964066e-08,3.2225824e-08,3.1715295e-08,5.876992e-08,3.772901e-08,4.9119336e-08,3.4606405e-08,6.377599e-08,39.631012,40.805904,41.338085,39.053715,39.71076,38.07441,39.66898,35.393127,37.594345,40.225533,36.623177,40.926186,40.49608,38.35783,37.903885,40.00808,38.919956,38.721634,38.726982,40.51379
1982-04-01 00:00:00,274.12805,275.37714,272.37064,274.9492,271.27783,276.07788,273.99545,278.22495,275.3094,273.72678,273.814,276.12692,274.38956,274.6997,273.63898,273.49786,274.84717,276.43704,272.39853,273.0281,299.19168,296.3571,297.15796,295.45123,300.6101,305.91885,292.1537,300.69293,295.6379,293.3567,298.0673,296.30292,298.25388,299.6858,296.82874,296.58923,294.02713,295.62564,294.49554,295.03537,4.0446768e-08,4.336106e-08,3.6275978e-08,5.8818472e-08,2.9231597e-08,2.8514725e-08,6.248342e-08,5.0657583e-08,2.7441635e-08,3.2363317e-08,2.803363e-08,3.8541376e-08,1.0560462e-08,1.3653849e-08,3.3006614e-08,4.3570758e-08,5.217113e-08,3.8430446e-08,2.4574858e-08,3.2050767e-08,37.696682,39.38457,38.60871,39.099117,34.436607,36.722687,39.884453,37.96824,37.8451,37.551098,37.21367,38.911125,33.17395,33.58152,36.27148,38.718433,38.932693,36.95158,36.559963,38.224083
1982-05-01 00:00:00,275.07385,274.3695,276.95676,275.9702,274.90677,276.4613,276.03506,275.54504,275.2068,277.1307,275.79126,277.6279,277.171,275.34592,278.05743,275.6253,274.52963,277.94608,276.47644,276.7299,292.9015,297.6817,302.2065,297.84482,303.75983,305.7304,303.85263,301.2769,295.38245,301.638,302.60617,303.80402,300.53253,298.73846,303.49963,297.03168,300.7346,300.2318,301.7382,297.9505,2.1010505e-08,3.062054e-08,1.81083e-08,1.2050027e-08,1.588444e-08,2.1000144e-08,1.8927835e-08,3.762129e-08,5.622999e-08,1.138405e-08,1.5231251e-08,3.268794e-08,1.3234767e-08,1.1151495e-08,3.6e-08,9.75316e-09,2.32045e-08,3.3477058e-08,9.74761e-09,1.10197655e-08,34.04787,35.99066,32.62576,32.198196,32.57376,32.434334,33.46822,37.983547,38.572933,31.725178,30.700436,34.98914,27.95829,27.86165,34.321568,31.545681,34.332844,35.62322,30.367819,31.324196
1982-06-01 00:00:00,279.50333,278.6971,277.09113,278.71518,278.7872,277.90945,277.9216,280.46216,278.97687,278.63495,277.73883,281.16235,278.42218,278.09998,277.96072,277.56,278.51816,279.50177,277.81958,277.18124,302.27322,297.31824,299.8886,303.86563,296.54163,302.75848,302.46667,301.6056,299.12393,302.94534,298.72928,305.2127,305.13382,304.51743,303.5542,305.25418,307.42142,306.15823,304.3245,301.42508,1.6758053e-08,2.2667228e-08,2.6043672e-08,2.1743324e-08,2.3536414e-08,1.6749622e-08,2.308674e-08,8.451572e-10,2.6154858e-08,3.7471164e-09,1.9904222e-08,3.3099656e-08,7.834248e-09,2.2525086e-08,6.92354e-09,9.4641335e-09,3.2142609e-09,1.1211594e-08,2.7367268e-09,9.028661e-09,31.648907,33.390755,30.877945,30.84952,32.72524,30.068464,32.68053,25.824564,34.461205,18.744446,28.278162,34.648174,21.54523,25.52571,29.72998,23.944317,28.31917,26.978146,18.276217,26.176922
1982-07-01 00:00:00,280.50116,280.878,280.98666,280.49792,279.69284,279.68738,280.3853,281.5334,281.94058,280.09314,280.59113,281.29953,279.17935,278.6632,280.46466,279.87793,278.5482,279.88217,278.38318,277.58438,306.18985,304.38736,308.84732,305.77567,307.55093,307.6686,303.0394,304.3482,307.16193,303.18903,300.77658,312.39624,308.75262,304.4514,303.40088,306.7986,308.35333,306.18036,308.27493,303.60684,1.1565303e-09,2.35301e-09,2.1834812e-09,4.9118674e-09,2.7411915e-09,6.852663e-09,1.5349801e-09,1.4119062e-08,3.892969e-09,4.026034e-09,6.3400107e-09,9.914552e-09,2.6037832e-09,1.6057482e-09,1.8585387e-09,4.8831197e-09,2.6552098e-09,5.561439e-09,2.6009614e-09,3.8448866e-09,19.746662,24.90504,23.793325,20.339357,24.235504,22.242714,22.92622,22.961185,24.98658,16.347263,22.056316,26.936314,14.586052,19.034153,18.686615,16.710913,17.757547,19.433323,13.966256,17.228882
1982-08-01 00:00:00,279.43893,279.9208,278.10925,279.87323,279.2705,281.0613,279.39658,279.49268,279.817,279.84085,280.01355,279.52164,277.1962,278.83395,279.5975,281.46533,278.6787,279.64233,279.1948,278.87234,314.90756,309.65857,306.37823,307.0183,312.37766,309.9937,304.80496,308.4649,310.20303,308.7044,309.1488,309.78424,308.6057,307.39105,307.66132,308.381,307.06833,310.2032,308.85117,310.11087,2.7077491e-09,1.581033e-09,4.291569e-09,2.3960132e-09,4.4681197e-09,1.3173118e-09,1.6493874e-09,1.2816185e-09,3.4693772e-09,5.3355467e-09,1.2854054e-09,1.8533237e-09,5.8576437e-09,1.6889318e-08,1.2941053e-08,2.7203761e-09,2.599559e-09,5.2041687e-09,8.527069e-09,7.117682e-09,14.130436,16.57709,16.117884,14.072611,15.084941,14.991278,15.752142,14.366473,16.785057,14.469662,14.947912,16.526964,14.504746,21.284096,20.63257,13.810399,14.500107,15.36272,16.156229,18.623623
1982-09-01 00:00:00,279.6282,276.92117,279.2792,277.143,277.72476,278.95526,275.9146,278.28696,277.58636,279.7769,278.05585,277.88794,275.2393,275.30252,278.32562,278.17374,280.66254,278.7705,279.37686,276.53735,306.42584,307.3925,312.52353,308.3518,304.52588,307.97705,302.5338,304.5853,303.023,305.9851,308.90472,301.85895,306.3175,303.30447,306.05338,307.15298,308.3139,310.60803,308.68573,310.04715,8.158762e-09,1.6436871e-08,6.741338e-09,3.9440544e-09,2.4358826e-08,2.3143438e-09,7.512633e-09,1.0752177e-08,1.8938573e-08,7.3272175e-09,8.898054e-09,9.639557e-09,7.55559e-09,1.77641e-08,4.7827298e-09,1.4283412e-08,1.2837853e-08,2.855072e-10,1.722202e-08,1.0052872e-08,17.063583,16.240028,14.548331,14.5521555,25.75212,13.388009,14.698204,18.60688,22.620382,15.92999,13.831406,16.909575,17.377748,22.492401,17.44951,19.836767,18.532938,12.374918,18.171268,15.538005
1982-10-01 00:00:00,273.97586,275.46985,274.28897,273.46182,276.33765,272.78857,274.5218,276.107,275.50073,275.65152,276.15872,274.7912,276.42114,274.67923,276.8405,276.4336,274.41614,274.30356,276.3313,274.55063,304.60297,295.16562,299.9546,302.52856,299.50876,305.40332,296.3097,295.4784,298.81387,298.3579,302.97357,293.1078,303.20685,299.74374,300.99765,296.286,305.18448,305.58493,296.34406,303.88464,5.2346262e-08,6.743683e-08,6.40829e-08,4.833908e-08,9.016986e-09,3.7710667e-08,3.8241627e-08,4.6458723e-08,2.2374955e-08,1.6383188e-08,3.3452032e-08,6.470655e-08,2.6281542e-08,1.5298404e-08,6.3747066e-08,2.22494e-08,1.3171172e-08,1.876494e-08,2.8095272e-08,1.5663286e-08,32.640785,35.406948,30.210562,29.52296,27.273205,27.661343,33.04684,29.191708,26.68499,23.90781,31.227886,37.48118,25.98962,30.042448,30.81422,24.962053,18.2846,22.066538,30.03618,22.723707
1982-11-01 00:00:00,267.31656,273.88895,274.15274,273.93906,274.0358,273.72064,273.14206,274.4296,275.06143,272.6971,274.8512,274.28467,272.93927,273.05496,271.17865,271.56296,274.28192,273.72638,274.452,273.5805,290.35724,288.87482,294.14203,287.51413,291.3503,292.548,288.78436,289.34097,288.73212,290.03992,295.39148,288.78363,289.2588,289.7006,290.08975,293.59412,287.17902,283.7252,290.95966,292.18652,9.737831e-08,5.8704774e-08,8.898655e-08,3.5567634e-08,5.6132677e-08,3.9298875e-08,9.272695e-08,1.04777094e-07,1.1132351e-07,4.1015486e-08,9.3173156e-08,1.0270645e-07,7.324556e-08,4.8242658e-08,5.655885e-08,1.8402853e-08,1.2939479e-07,8.796838e-08,4.79163e-08,7.918494e-08,39.652668,39.935265,41.454857,38.262794,38.77547,36.066833,40.48376,41.76399,42.175137,35.144455,40.354404,40.951668,37.571663,36.37894,39.445274,33.367065,41.139175,38.52675,37.6303,36.91438
1982-12-01 00:00:00,271.90628,274.39453,273.4792,264.60464,266.50806,273.9159,273.59262,273.39838,266.95508,267.84634,274.40695,272.20514,273.07132,271.10626,273.6127,260.84076,270.2212,272.92795,273.2333,273.53156,285.15823,285.99673,284.8983,285.92194,284.7204,286.22696,283.8392,292.21405,280.68005,285.33298,287.071,289.1226,283.7907,289.75146,287.4329,280.9191,286.64737,285.29184,288.03076,286.60834,9.952362e-08,1.2218203e-07,4.0667633e-08,5.0877702e-08,9.2941654e-08,1.3625468e-07,9.289815e-08,7.9229245e-08,1.0626632e-07,1.3117767e-07,9.162186e-08,8.4561094e-08,9.887538e-08,4.255024e-08,1.6439165e-07,3.675683e-08,1.3509728e-08,9.038257e-08,5.246455e-08,1.6473058e-07,42.656364,42.258183,39.704006,41.5461,41.92265,42.67383,42.269318,41.784786,45.05882,43.29761,41.32005,41.878815,41.979675,39.38946,43.54277,38.888428,38.329815,41.66654,39.644836,42.67356
1983-01-01 00:00:00,269.74127,273.67828,273.63635,269.38922,265.14133,271.94757,273.62277,273.3028,270.2156,271.9965,271.46542,269.47382,267.78406,268.13712,273.43463,267.7691,270.68884,267.30234,269.31256,268.031,289.3648,288.01782,286.51157,288.4555,285.78995,285.85114,289.74765,288.51083,286.09607,285.53897,285.22794,283.6016,279.1646,287.78455,285.3621,285.38394,288.6802,283.52145,279.3213,287.49768,5.1078477e-08,9.194578e-08,1.1933284e-07,8.944313e-08,1.2136204e-07,4.2722945e-08,6.67513e-08,5.4796505e-08,5.7464323e-08,9.66176e-08,5.7741108e-08,7.5902555e-08,8.572893e-08,2.8435304e-08,7.585163e-08,2.8957952e-08,7.500447e-08,6.525711e-08,1.308807e-07,8.1917456e-08,42.488804,40.55464,42.658466,42.569218,44.367805,40.737774,41.09692,40.390972,41.106342,41.887867,40.78294,42.535385,42.895065,39.686287,41.727043,44.948063,40.78629,43.64859,42.86284,43.606354
